0	86.39%
2	86.39%
4	86.39%
6	86.39%
8	86.39%
10	86.48%
12	86.56%
14	86.74%
16	86.96%
18	87.34%
20	87.61%
22	87.81%
24	88.17%
26	88.7%
28	89.36%
30	89.89%
32	90.75%
34	91.3%
36	91.88%
38	92.16%
40	92.59%
42	93.41%
44	94.11%
46	94.73%
48	95.08%
50	95.52%
52	95.59%
54	96.15%
56	97.02%
58	97.46%
60	97.76%
62	98.18%
64	98.65%
66	98.93%
68	98.94%
70	98.94%
72	98.94%
74	98.94%
76	98.94%
78	98.94%
80	98.94%
82	98.94%
84	98.94%
86	98.94%
88	98.94%
90	98.94%
92	98.94%
94	98.94%
96	98.94%
98	98.94%
100	98.94%
